Date,Demographic_category,Administered_Dose1,Administered_Dose1_pct_known,Administered_Dose1_pct_US,Series_Complete_Yes,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup,Series_Complete_Pop_Pct_known,Series_Complete_Pop_Pct_US,Booster_Doses_Vax_pct_agegroup,Booster_Doses_Pop_Pct_known,Booster_Doses_Vax_Pct_US,Booster_Doses_Pop_Pct_known_Last14Days,Booster_Doses_Yes,Booster_Doses_Yes_Last14Days
3/6/22,Sex_known,251872388,99.9,99.1,214674295,,,99.9,99.3,45.9,99.9,99.9,99.9,95074509,1320518
3/6/22,Ages_<5yrs,47584,0,0,18649,0.2,0.1,0,0,0,0,0,0,0,0
3/6/22,Race_eth_NHMult_Oth,11253173,6,4.4,10007923,95,95,6,4.6,53.8,6,5.9,6.3,5113728,74893
3/6/22,Ages_5-11_yrs,9595011,3.8,3.8,7577089,33.4,26.4,3.5,3.5,0,0,0,0,0,0
3/6/22,Race_eth_NHAIAN,1729709,0.9,0.7,1432377,71,58.8,0.9,0.7,43,0.7,0.8,1,584229,11845
3/6/22,Race_eth_unknown,65214570,34.5,25.7,48339953,,,28.8,22.4,21.6,11.9,29.2,11.7,10167097,138404
3/6/22,Ages_50-64_yrs,58701188,23.1,23.1,51080415,92.2,80.2,23.6,23.6,51.1,27.4,24.5,23.1,26088648,305860
3/6/22,Ages_<12yrs,9648218,3.8,3.8,7597175,19.9,15.7,3.5,3.5,0,0,0,0,0,0
3/6/22,Ages_25-39_yrs,53969324,21.2,21.2,45095965,78.9,65.9,20.9,20.9,34.1,16.1,21.6,23.5,15366844,311160
3/6/22,Race_eth_NHWhite,104422567,55.3,41.1,94458740,52.9,47.9,56.3,43.7,57.6,61.9,56.7,41.2,52673876,487561
3/6/22,Race_eth_NHAsian,12609705,6.7,5,11404317,66.4,60,6.8,5.3,66.4,8.3,6.6,9.2,7089752,109522
3/5/22,Age_known,254103973,99.9,99.9,216196278,,,99.9,99.9,45.7,99.9,99.9,99.9,95247966,1454247
3/5/22,Ages_40-49_yrs,34983169,13.8,13.8,30077556,85.8,73.7,13.9,13.9,42,13.2,14.4,15,12617588,218598
3/5/22,Ages_12-15_yrs,11168950,4.4,4.4,9495492,66,56.1,4.4,4.4,19.1,1.9,4.6,8.6,1810782,124722
3/5/22,Race_eth_NHNHOPI,601917,0.3,0.2,541916,64.8,58.4,0.3,0.3,43.3,0.3,0.3,0.7,222629,8853
3/5/22,Ages_25-39_yrs,53968578,21.2,21.2,45095468,78.9,65.9,20.9,20.9,34.1,16.1,21.6,23.3,15366149,338990
3/5/22,Ages_5-11_yrs,9594474,3.8,3.8,7576334,33.4,26.4,3.5,3.5,0,0,0,0,0,0
3/5/22,Ages_65-74_yrs,33476365,13.2,13.2,29082622,95,91.2,13.5,13.5,65,19.9,13.9,9,18915287,131282
3/5/22,Race_eth_Hispanic,38931606,20.6,15.3,33156414,61.1,52,19.8,15.3,39.5,14.7,19.6,27.7,12473328,361003
3/5/22,Ages_75+_yrs,22684512,8.9,8.9,19583994,95,85.5,9.1,9.1,68.8,14.2,9.4,5.7,13478069,82779
3/5/22,Ages_16-17_yrs,5992383,2.4,2.4,5137307,71.4,61.2,2.4,2.4,27,1.5,2.5,4,1388469,57481
3/5/22,Ages_12-17_yrs,17161333,6.8,6.8,14632799,67.8,57.8,6.8,6.8,21.9,3.4,7,12.5,3199251,182203
3/5/22,Ages_<12yrs,9647675,3.8,3.8,7596419,19.9,15.7,3.5,3.5,0,0,0,0,0,0
3/5/22,Ages_50-64_yrs,58700880,23.1,23.1,51080229,92.2,80.2,23.6,23.6,51.1,27.4,24.5,23.1,26087982,335773
3/5/22,Ages_<5yrs,47579,0,0,18649,0.2,0.1,0,0,0,0,0,0,0,0
3/5/22,Sex_Female,131458061,52.2,51.7,112517354,78,66.8,52.4,52,47.9,54.7,52.5,56.4,52048526,818363
3/5/22,Sex_known,251869665,99.9,99.1,214672076,,,99.9,99.3,45.9,99.9,99.9,99.9,95071511,1451629
3/5/22,Age_unknown,25740,0,0,5954,,,0,0,0,0,0,0,0,0
3/5/22,Race_eth_NHAsian,12609486,6.7,5,11404186,66.4,60,6.8,5.3,66.4,8.3,6.6,9.2,7089389,120015
3/5/22,Race_eth_NHWhite,104422087,55.3,41.1,94458322,52.9,47.9,56.3,43.7,57.6,61.9,56.7,41.5,52673082,541273
3/5/22,Race_eth_unknown,65214018,34.5,25.7,48339691,,,28.8,22.4,21.6,11.9,29.2,11.6,10166850,151535
3/5/22,Sex_Male,120411604,47.8,47.4,102154722,73.7,62.5,47.6,47.2,43.8,45.3,47.5,43.6,43022985,633266
3/5/22,Sex_unknown,2260048,0.9,0.9,1530156,,,0.7,0.7,11.7,0.2,0.7,0.2,176455,2618
3/5/22,Ages_18-24_yrs,23481461,9.2,9.2,19047191,76.8,62.3,8.8,8.8,29.3,5.9,9.1,11.3,5583640,164622
3/5/22,Race_eth_known,188915647,99.9,74.3,167862439,,,99.9,77.6,52.7,99.9,99.9,99.9,85081116,1302712
3/5/22,Race_eth_NHAIAN,1729698,0.9,0.7,1432368,71,58.8,0.9,0.7,43,0.7,0.8,1,584222,12436
3/5/22,US,254129713,,100,216202232,76.5,65.1,,100,45.7,,100,,95247966,1454247
3/5/22,Race_eth_NHBlack,19367775,10.3,7.6,16861426,47,40.9,10,7.8,42.5,8.1,10.1,13.6,6924887,176596
3/5/22,Race_eth_NHMult_Oth,11253078,6,4.4,10007807,95,95,6,4.6,53.8,6,5.9,6.3,5113579,82536
3/4/22,Ages_25-39_yrs,53963023,21.2,21.2,45091072,78.9,65.9,20.9,20.9,34.1,16.1,21.6,23.3,15357801,345372
3/4/22,Ages_65-74_yrs,33475630,13.2,13.2,29082111,95,91.2,13.5,13.5,65,19.9,13.9,8.9,18912949,132282
3/4/22,Ages_75+_yrs,22684103,8.9,8.9,19583774,95,85.5,9.1,9.1,68.8,14.2,9.4,5.6,13476800,83264
3/4/22,Race_eth_known,188895384,99.9,74.3,167840418,,,99.9,77.6,52.7,99.9,99.9,99.9,85046860,1325857
3/4/22,Ages_12-17_yrs,17158184,6.8,6.8,14629294,67.8,57.8,6.8,6.8,21.8,3.4,7,12.7,3192033,187640
3/4/22,US,254104835,,100,216177022,76.5,65.1,,100,45.6,,100,,95210587,1479848
3/4/22,Sex_known,251844843,99.9,99.1,214646897,,,99.9,99.3,45.9,99.9,99.9,99.9,95034165,1477165
3/4/22,Race_eth_NHAIAN,1729582,0.9,0.7,1432259,71,58.8,0.9,0.7,43,0.7,0.8,0.9,584060,12529
3/4/22,Race_eth_NHBlack,19365157,10.3,7.6,16858208,47,40.9,10,7.8,42.5,8.1,10.1,13.5,6920676,179110
3/4/22,Ages_5-11_yrs,9587987,3.8,3.8,7566209,33.4,26.3,3.5,3.5,0,0,0,0,0,0
3/4/22,Race_eth_Hispanic,38922375,20.6,15.3,33147036,61.1,52,19.7,15.3,39.5,14.7,19.5,27.6,12462450,365532
3/4/22,Ages_16-17_yrs,5991488,2.4,2.4,5136429,71.4,61.2,2.4,2.4,27,1.5,2.5,4,1386316,59253
3/4/22,Ages_12-15_yrs,11166696,4.4,4.4,9492865,66,56.1,4.4,4.4,19,1.9,4.6,8.7,1805717,128387
3/4/22,Race_eth_unknown,65209403,34.5,25.7,48336502,,,28.8,22.4,21.5,12,29.2,11.6,10163727,153991
3/4/22,Ages_50-64_yrs,58698087,23.1,23.1,51078195,92.2,80.2,23.6,23.6,51.1,27.4,24.5,23,26079446,340358
3/4/22,Ages_18-24_yrs,23478616,9.2,9.2,19044919,76.8,62.3,8.8,8.8,29.3,5.9,9.1,11.4,5579796,168492
3/4/22,Ages_<5yrs,47375,0,0,18440,0.2,0.1,0,0,0,0,0,0,0,0
3/4/22,Sex_unknown,2259992,0.9,0.9,1530125,,,0.7,0.7,11.7,0.2,0.7,0.2,176422,2683
